requirement_id,domain,level,impl_file,impl_symbol,impl_line,test_file,test_function,gate
BOUND-DEPTH-001,policy,L1,jcstoken/token.go,ParseWithOptions,150,jcstoken/token_test.go,TestParse_BOUND_DEPTH_001,TEST
BOUND-DEPTH-001,policy,L3,jcstoken/token.go,ParseWithOptions,150,conformance/harness_test.go,TestConformanceRequirements/BOUND-DEPTH-001,CONFORMANCE
BOUND-ELEMS-001,policy,L1,jcstoken/token.go,ParseWithOptions,150,jcstoken/token_test.go,TestParse_BOUND_ELEMS_001,TEST
BOUND-ELEMS-001,policy,L3,jcstoken/token.go,ParseWithOptions,150,conformance/harness_test.go,TestConformanceRequirements/BOUND-ELEMS-001,CONFORMANCE
BOUND-INPUT-001,policy,L1,jcstoken/token.go,ParseWithOptions,150,jcstoken/token_test.go,TestParse_BOUND_INPUT_001,TEST
BOUND-INPUT-001,policy,L3,jcstoken/token.go,ParseWithOptions,150,conformance/harness_test.go,TestConformanceRequirements/BOUND-INPUT-001,CONFORMANCE
BOUND-MEMBERS-001,policy,L1,jcstoken/token.go,ParseWithOptions,150,jcstoken/token_test.go,TestParse_BOUND_MEMBERS_001,TEST
BOUND-MEMBERS-001,policy,L3,jcstoken/token.go,ParseWithOptions,150,conformance/harness_test.go,TestConformanceRequirements/BOUND-MEMBERS-001,CONFORMANCE
BOUND-NUMCHARS-001,policy,L1,jcstoken/token.go,ParseWithOptions,150,jcstoken/token_test.go,TestParse_BOUND_NUMCHARS_001,TEST
BOUND-NUMCHARS-001,policy,L3,jcstoken/token.go,ParseWithOptions,150,conformance/harness_test.go,TestConformanceRequirements/BOUND-NUMCHARS-001,CONFORMANCE
BOUND-STRBYTES-001,policy,L1,jcstoken/token.go,ParseWithOptions,150,jcstoken/token_test.go,TestParse_BOUND_STRBYTES_001,TEST
BOUND-STRBYTES-001,policy,L3,jcstoken/token.go,ParseWithOptions,150,conformance/harness_test.go,TestConformanceRequirements/BOUND-STRBYTES-001,CONFORMANCE
BOUND-VALUES-001,policy,L1,jcstoken/token.go,ParseWithOptions,150,jcstoken/token_test.go,TestParse_BOUND_VALUES_001,TEST
BOUND-VALUES-001,policy,L3,jcstoken/token.go,ParseWithOptions,150,conformance/harness_test.go,TestConformanceRequirements/BOUND-VALUES-001,CONFORMANCE
CANON-ENC-001,normative,L1,jcs/serialize.go,Serialize,51,jcs/serialize_test.go,TestSerialize_CANON_ENC_001,TEST
CANON-ENC-001,normative,L1,jcs/serialize.go,validateString,413,jcs/serialize_test.go,TestSerializeRejectsInvalidUTF8StringPayload,TEST
CANON-ENC-001,normative,L3,jcs/serialize.go,Serialize,51,conformance/harness_test.go,TestConformanceRequirements/CANON-ENC-001,CONFORMANCE
CANON-ENC-002,normative,L1,jcs/serialize.go,Serialize,51,jcs/serialize_test.go,TestSerialize_CANON_ENC_002,TEST
CANON-ENC-002,normative,L3,jcs/serialize.go,Serialize,51,conformance/harness_test.go,TestConformanceRequirements/CANON-ENC-002,CONFORMANCE
CANON-LIT-001,normative,L1,jcs/serialize.go,Serialize,51,jcs/serialize_test.go,TestSerialize_CANON_LIT_001,TEST
CANON-LIT-001,normative,L1,jcs/serialize.go,validateValueTree,347,jcs/serialize_test.go,TestSerializeRejectsInvalidBoolPayload,TEST
CANON-LIT-001,normative,L3,jcs/serialize.go,Serialize,51,conformance/harness_test.go,TestConformanceRequirements/CANON-LIT-001,CONFORMANCE
